,tileID,X,Picture,AOI,Notes.Corrections,Date,Timepoint,file,Tank,Y,Run,Source,Type,Genotype
1155,342W,1348,8,11,NA,6/26/20,Initial,8_I,34.5A,0.646,2,FWC,S,F-M-12
1156,343W,1180,4,3,NA,6/26/20,Final,4_F,31.5B,0.623,2,FWC,S,F-M-12
1157,343W,1347,8,10,NA,6/26/20,Initial,8_I,31.5B,0.66,2,FWC,S,F-M-12
1162,344W,1020,20,10,NA,6/26/20,Final,20_F,35.5A,0.321,2,FWC,S,F-M-12
1163,344W,1346,8,9,NA,6/26/20,Initial,8_I,35.5A,0.663,2,FWC,S,F-M-12
1168,345W,1315,7,16,NA,6/26/20,Initial,7_I,32.5B,0.647,2,FWC,S,F-M-12
1173,346W,1344,8,7,NA,6/26/20,Initial,8_I,35.5B,0.651,2,FWC,S,F-M-12
1174,346W,1058,23,4,NA,6/26/20,Final,23_F,35.5B,0.359,2,FWC,S,F-M-12
1177,347W,1376,9,1,NA,6/26/20,Initial,9_I,33.5B,0.669,2,FWC,S,F-M-12
1178,347W,680,11,5,NA,6/26/20,Final,11_F,33.5B,0.602,2,FWC,S,F-M-12
1183,348W,1343,8,6,NA,6/26/20,Initial,8_I,36.5B,0.658,2,FWC,S,F-M-12
1184,348W,1130,28,13,NA,6/26/20,Final,28_F,36.5B,0.149,2,FWC,S,F-M-12
1187,349W,774,14,3,NA,6/26/20,Final,14_F,34.5A,0.465,2,FWC,S,F-M-12
1188,349W,1342,8,5,NA,6/26/20,Initial,8_I,34.5A,0.671,2,FWC,S,F-M-12
1444,401G,1873,26,15,NA,6/28/20,Final,26_F,36B,0.137,3,FWC,S,F-M-13
1445,401G,1939,4,12,NA,6/28/20,Initial,4_I,36B,0.602,3,FWC,S,F-M-13
1450,402G,1780,19,20,NA,6/28/20,Final,19_F,35B,0.374,3,FWC,S,F-M-13
1451,402G,1938,4,11,NA,6/28/20,Initial,4_I,35B,0.588,3,FWC,S,F-M-13
1460,404G,1659,16,17,NA,6/28/20,Final,16_F,31B,0.592,3,FWC,S,F-M-13
1461,404G,1933,4,6,NA,6/28/20,Initial,4_I,31B,0.594,3,FWC,S,F-M-13
1466,405G,1621,15,11,NA,6/28/20,Final,15_F,34B,0.493,3,FWC,S,F-M-13
1467,405G,1932,4,5,NA,6/28/20,Initial,4_I,34B,0.6,3,FWC,S,F-M-13
1472,406G,1930,4,3,NA,6/28/20,Initial,4_I,33A,0.577,3,FWC,S,F-M-13
1473,406G,2082,9,3,NA,6/28/20,Final,9_F,33A,0.591,3,FWC,S,F-M-13
1478,407G,1858,25,1,NA,6/28/20,Final,25_F,36A,0.153,3,FWC,S,F-M-13
1479,407G,1931,4,4,NA,6/28/20,Initial,4_I,36A,0.598,3,FWC,S,F-M-13
1482,408G,1829,20,17,NA,6/28/20,Final,20_F,35B,0.323,3,FWC,S,F-M-13
1483,408G,2023,7,4,NA,6/28/20,Initial,7_I,35B,0.597,3,FWC,S,F-M-13
1486,409G,2036,7,17,NA,6/28/20,Initial,7_I,34A,0.59,3,FWC,S,F-M-13
1487,409G,1525,12,20,NA,6/28/20,Final,12_F,34A,0.589,3,FWC,S,F-M-13
1496,410G,2084,9,5,NA,6/28/20,Final,9_F,33A,0.6,3,FWC,S,F-M-13
1497,410G,2008,6,15,NA,6/28/20,Initial,6_I,33A,0.639,3,FWC,S,F-M-13
1500,411G,2022,7,3,NA,6/28/20,Initial,7_I,33B,0.592,3,FWC,S,F-M-13
1501,411G,1483,11,7,NA,6/28/20,Final,11_F,33B,0.596,3,FWC,S,F-M-13
1506,412G,2039,7,20,NA,6/28/20,Initial,7_I,33B,0.581,3,FWC,S,F-M-13
1509,413G,1949,5,2,NA,6/28/20,Final,5_F,32A,0.597,3,FWC,S,F-M-13
1510,413G,2012,6,19,NA,6/28/20,Initial,6_I,32A,0.654,3,FWC,S,F-M-13
1513,414G,2006,6,13,NA,6/28/20,Initial,6_I,35A,0.629,3,FWC,S,F-M-13
1514,414G,1734,18,11,NA,6/28/20,Final,18_F,35A,0.36,3,FWC,S,F-M-13
1519,415G,1885,3,2,NA,6/28/20,Final,3_F,31B,0.608,3,FWC,S,F-M-13
1520,415G,2007,6,14,NA,6/28/20,Initial,6_I,31B,0.647,3,FWC,S,F-M-13
1834,489B,1439,10,3,NA,6/28/20,Final,10_F,33B,0.591,3,FWC,A,F-M-13
1835,489B,2035,7,16,NA,6/28/20,Initial,7_I,33B,0.599,3,FWC,A,F-M-13
1842,490B,1453,10,17,NA,6/28/20,Final,10_F,33B,0.6,3,FWC,A,F-M-13
1843,490B,2013,6,20,NA,6/28/20,Initial,6_I,33B,0.626,3,FWC,A,F-M-13
1846,491B,1770,19,10,NA,6/28/20,Final,19_F,35B,0.316,3,FWC,A,F-M-13
1847,491B,2038,7,19,NA,6/28/20,Initial,7_I,35B,0.612,3,FWC,A,F-M-13
1850,492B,1994,6,1,NA,6/28/20,Initial,6_I,36A,0.584,3,FWC,A,F-M-13
1851,492B,1833,21,4,NA,6/28/20,Final,21_F,36A,0.084,3,FWC,A,F-M-13
1854,493B,1586,14,17,NA,6/28/20,Final,14_F,34B,0.549,3,FWC,A,F-M-13
1855,493B,1996,6,3,NA,6/28/20,Initial,6_I,34B,0.624,3,FWC,A,F-M-13
1858,494B,1401,1,6,NA,6/28/20,Final,1_F,31A,0.602,3,FWC,A,F-M-13
1861,495B,1685,17,2,NA,6/28/20,Final,17_F,35A,0.308,3,FWC,A,F-M-13
1862,495B,2004,6,11,NA,6/28/20,Initial,6_I,35A,0.602,3,FWC,A,F-M-13
1863,496B,1687,17,4,NA,6/28/20,Final,17_F,35A,0.336,3,FWC,A,F-M-13
1864,496B,1904,3,17,NA,6/28/20,Initial,3_I,35A,0.588,3,FWC,A,F-M-13
1867,497B,1920,4,13,NA,6/28/20,Final,4_F,32A,0.627,3,FWC,A,F-M-13
1868,497B,1903,3,16,NA,6/28/20,Initial,3_I,32A,0.589,3,FWC,A,F-M-13
1871,498B,1926,4,19,NA,6/28/20,Final,4_F,32A,0.626,3,FWC,A,F-M-13
1872,498B,1998,6,5,NA,6/28/20,Initial,6_I,32A,0.614,3,FWC,A,F-M-13
1881,500B,1941,4,14,NA,6/28/20,Initial,4_I,33A,0.606,3,FWC,S,F-M-13
1882,500B,2040,8,1,NA,6/28/20,Final,8_F,33A,0.562,3,FWC,S,F-M-13
581,236B,2001,6,8,NA,6/28/20,Initial,6_I,35B,0.645,3,FWC,S,F-M-14
582,236B,1821,20,9,NA,6/28/20,Final,20_F,35B,0.437,3,FWC,S,F-M-14
587,237B,2003,6,10,NA,6/28/20,Initial,6_I,33B,0.629,3,FWC,S,F-M-14
588,237B,1481,11,5,NA,6/28/20,Final,11_F,33B,0.622,3,FWC,S,F-M-14
593,238B,1884,3,1,NA,6/28/20,Final,3_F,31B,0.611,3,FWC,S,F-M-14
594,238B,1995,6,2,NA,6/28/20,Initial,6_I,31B,0.627,3,FWC,S,F-M-14
597,239B,1997,6,4,NA,6/28/20,Initial,6_I,35A,0.628,3,FWC,S,F-M-14
598,239B,1699,17,16,NA,6/28/20,Final,17_F,35A,0.38,3,FWC,S,F-M-14
244,158G,123,11,9,,6/25/20,Initial,I_11,34A,0.623,1,FWC,S,F-M-19
245,158G,124,5,11,,6/25/20,Final,F_5,34A,0.568,1,FWC,S,F-M-19
248,159G,125,5,3,,6/25/20,Final,F_5,34A,0.597,1,FWC,S,F-M-19
249,159G,126,11,2,,6/25/20,Initial,I_11,34A,0.614,1,FWC,S,F-M-19
257,160G,128,11,6,,6/25/20,Initial,I_11,37A,0.646,1,FWC,S,F-M-19
258,160G,129,25,2,,6/25/20,Final,F_25,37A,0,1,FWC,S,F-M-19
261,161G,131,11,17,,6/25/20,Initial,I_11,36B,0.65,1,FWC,S,F-M-19
262,161G,130,22,4,,6/25/20,Final,F_22,36B,0.114,1,FWC,S,F-M-19
265,162G,133,11,5,,6/25/20,Initial,I_11,36A,0.636,1,FWC,S,F-M-19
266,162G,132,19,10,,6/25/20,Final,F_19,36A,0.188,1,FWC,S,F-M-19
269,163G,134,11,8,,6/25/20,Initial,I_11,37B,0.648,1,FWC,S,F-M-19
270,163G,135,27,7,,6/25/20,Final,F_27,37B,0.047,1,FWC,S,F-M-19
273,164G,137,11,13,,6/25/20,Initial,I_11,36A,0.625,1,FWC,S,F-M-19
274,164G,136,17,9,,6/25/20,Final,F_17,36A,0.116,1,FWC,S,F-M-19
277,165G,139,13,7,,6/25/20,Final,F_13,35B,0.386,1,FWC,S,F-M-19
278,165G,138,11,1,249 & 250,6/25/20,Initial,I_11,35B,0.628,1,FWC,S,F-M-19
281,166G,141,11,18,,6/25/20,Initial,I_11,32A,0.635,1,FWC,S,F-M-19
282,166G,140,1,18,,6/25/20,Final,F_1,32A,0.611,1,FWC,S,F-M-19
285,167G,143,11,11,,6/25/20,Initial,I_11,35B,0.642,1,FWC,A,F-M-19
286,167G,142,13,8,,6/25/20,Final,F_13,35B,0.294,1,FWC,A,F-M-19
289,168G,145,2,5,,6/25/20,Final,F_2,32B,0.623,1,FWC,S,F-M-19
290,168G,144,11,3,,6/25/20,Initial,I_11,32B,0.622,1,FWC,S,F-M-19
293,169G,147,11,15,,6/25/20,Initial,I_11,33B,0.649,1,FWC,S,F-M-19
294,169G,146,4,2,,6/25/20,Final,F_4,33B,0.6,1,FWC,S,F-M-19
301,170G,149,25,3,,6/25/20,Final,F_25,37A,0,1,FWC,S,F-M-19
302,170G,148,10,5,,6/25/20,Initial,I_10,37A,0.613,1,FWC,S,F-M-19
305,171G,150,10,14,,6/25/20,Initial,I_10,33A,0.651,1,FWC,S,F-M-19
306,171G,151,3,7,,6/25/20,Final,F_3,33A,0.427,1,FWC,S,F-M-19
309,172G,152,10,13,,6/25/20,Initial,I_10,34B,0.615,1,FWC,A,F-M-19
310,172G,153,8,6,,6/25/20,Final,F_8,34B,0.522,1,FWC,A,F-M-19
313,173G,154,2,2,,6/25/20,Final,F_2,32B,0.591,1,FWC,A,F-M-19
314,173G,155,10,12,,6/25/20,Initial,I_10,32B,0.636,1,FWC,A,F-M-19
317,174G,157,10,11,,6/25/20,Initial,I_10,34B,0.592,1,FWC,S,F-M-19
318,174G,156,8,2,,6/25/20,Final,F_8,34B,0.532,1,FWC,S,F-M-19
320,175G,158,10,10,,6/25/20,Initial,I_10,35A,0.629,1,FWC,S,F-M-19
321,175G,159,11,6,,6/25/20,Final,F_11,35A,0.441,1,FWC,S,F-M-19
324,176G,160,10,9,,6/25/20,Initial,I_10,33A,0.646,1,FWC,S,F-M-19
325,176G,161,3,2,,6/25/20,Final,F_3,33A,0.424,1,FWC,S,F-M-19
328,177G,162,10,8,,6/25/20,Initial,I_10,35A,0.639,1,FWC,S,F-M-19
329,177G,163,11,10,,6/25/20,Final,F_11,35A,0.403,1,FWC,S,F-M-19
332,178G,165,10,7,,6/25/20,Initial,I_10,32A,0.604,1,FWC,S,F-M-19
333,178G,164,1,13,,6/25/20,Final,F_1,32A,0.594,1,FWC,S,F-M-19
336,179G,166,4,7,,6/25/20,Final,F_4,33B,0.569,1,FWC,A,F-M-19
337,179G,167,10,6,,6/25/20,Initial,I_10,33B,0.599,1,FWC,A,F-M-19
346,180G,962,19,2,NA,6/26/20,Initial,19_I,35.5A,0.663,2,FWC,A,F-M-19
347,180G,1027,20,17,NA,6/26/20,Final,20_F,35.5A,0.346,2,FWC,A,F-M-19
350,181G,169,14,5,,6/25/20,Initial,I_14,37B,0.61,1,FWC,A,F-M-19
351,181G,168,27,3,,6/25/20,Final,F_27,37B,0.098,1,FWC,A,F-M-19
1280,367B,1667,16,5,NA,6/28/20,Initial,16_I,35A,0.614,3,FWC,S,F-M-20
1281,367B,1690,17,7,NA,6/28/20,Final,17_F,35A,0.328,3,FWC,S,F-M-20
1288,369B,1675,16,13,NA,6/28/20,Initial,16_I,36B,0.627,3,FWC,S,F-M-20
1289,369B,1868,26,10,NA,6/28/20,Final,26_F,36B,0.116,3,FWC,S,F-M-20
1294,370B,1859,26,1,NA,6/28/20,Final,26_F,36B,0.067,3,FWC,S,F-M-20
1295,370B,1663,16,1,NA,6/28/20,Initial,16_I,36B,0.611,3,FWC,S,F-M-20
1297,371B,1669,16,7,NA,6/28/20,Initial,16_I,33A,0.612,3,FWC,S,F-M-20
1298,371B,2042,8,3,NA,6/28/20,Final,8_F,33A,0.577,3,FWC,S,F-M-20
1301,372B,1680,16,17,NA,6/28/20,Initial,16_I,34B,0.619,3,FWC,S,F-M-20
1302,372B,1584,14,15,NA,6/28/20,Final,14_F,34B,0.505,3,FWC,S,F-M-20
1305,373B,1916,4,9,NA,6/28/20,Final,4_F,32A,0.614,3,FWC,A,F-M-20
1306,373B,1668,16,6,NA,6/28/20,Initial,16_I,32A,0.599,3,FWC,A,F-M-20
1309,374B,1677,16,15,NA,6/28/20,Initial,16_I,31B,0.616,3,FWC,S,F-M-20
1310,374B,1678,16,15,NA,6/28/20,Initial,16_I,36B,0.616,3,FWC,S,F-M-20
1311,374B,1862,26,4,NA,6/28/20,Final,26_F,36B,0.165,3,FWC,S,F-M-20
1312,374B,1657,16,15,NA,6/28/20,Final,16_F,31B,0.619,3,FWC,S,F-M-20
1315,375B,1836,21,7,NA,6/28/20,Final,21_F,36A,0.106,3,FWC,S,F-M-20
1316,375B,1673,16,11,NA,6/28/20,Initial,16_I,36A,0.608,3,FWC,S,F-M-20
1319,376B,1700,17,17,NA,6/28/20,Final,17_F,35A,0.411,3,FWC,A,F-M-20
1320,376B,1679,16,16,NA,6/28/20,Initial,16_I,35A,0.608,3,FWC,A,F-M-20
1325,377B,1982,6,9,NA,6/28/20,Final,6_F,32B,0.623,3,FWC,S,F-M-20
1326,377B,1502,11,17,NA,6/28/20,Initial,11_I,32B,0.632,3,FWC,S,F-M-20
1331,378B,1489,11,4,NA,6/28/20,Initial,11_I,34B,0.634,3,FWC,S,F-M-20
1332,378B,1576,14,7,NA,6/28/20,Final,14_F,34B,0.54,3,FWC,S,F-M-20
1335,379B,1498,11,13,NA,6/28/20,Initial,11_I,31B,0.618,3,FWC,S,F-M-20
1336,379B,1645,16,3,NA,6/28/20,Final,16_F,31B,0.625,3,FWC,S,F-M-20
1342,380B,1407,1,12,NA,6/28/20,Final,1_F,31A,0.61,3,FWC,S,F-M-20
1343,380B,1499,11,14,NA,6/28/20,Initial,11_I,31A,0.609,3,FWC,S,F-M-20
1346,381B,1783,2,3,NA,6/28/20,Final,2_F,31A,0.617,3,FWC,S,F-M-20
1347,381B,1505,11,20,NA,6/28/20,Initial,11_I,31A,0.626,3,FWC,S,F-M-20
1348,382B,1500,11,15,NA,6/28/20,Initial,11_I,34B,0.616,3,FWC,S,F-M-20
1349,382B,1624,15,14,NA,6/28/20,Final,15_F,34B,0.595,3,FWC,S,F-M-20
1351,383B,1974,6,1,NA,6/28/20,Final,6_F,32B,0.6,3,FWC,S,F-M-20
1352,383B,1493,11,8,NA,6/28/20,Initial,11_I,32B,0.627,3,FWC,S,F-M-20
1353,385B,1617,15,7,NA,6/28/20,Final,15_F,34B,0.517,3,FWC,S,F-M-20
1354,385B,1494,11,9,NA,6/28/20,Initial,11_I,34B,0.617,3,FWC,S,F-M-20
1359,386B,1490,11,5,NA,6/28/20,Initial,11_I,33B,0.595,3,FWC,S,F-M-20
1362,387B,1566,13,17,NA,6/28/20,Initial,13_I,32B,0.629,3,FWC,S,F-M-20
1363,387B,1983,6,10,NA,6/28/20,Final,6_F,32B,0.604,3,FWC,S,F-M-20
1367,388B,1762,19,2,NA,6/28/20,Final,19_F,35B,0.379,3,FWC,S,F-M-20
1368,388B,1565,13,16,NA,6/28/20,Initial,13_I,35B,0.619,3,FWC,S,F-M-20
1379,391B,1604,14,15,NA,6/28/20,Initial,14_I,35A,0.632,3,FWC,S,F-M-20
1380,391B,1737,18,14,NA,6/28/20,Final,18_F,35A,0.377,3,FWC,S,F-M-20
1385,392B,1567,13,18,NA,6/28/20,Initial,13_I,31A,0.63,3,FWC,S,F-M-20
1386,392B,1408,1,13,NA,6/28/20,Final,1_F,31A,0.627,3,FWC,S,F-M-20
1391,393B,1552,13,3,NA,6/28/20,Initial,13_I,34A,0.608,3,FWC,S,F-M-20
1392,393B,1521,12,16,NA,6/28/20,Final,12_F,34A,0.559,3,FWC,S,F-M-20
134,131W,93,25,15,,6/25/20,Final,F_25,37A,0,1,FWC,S,F-M-21
135,131W,92,11,10,,6/25/20,Initial,I_11,37A,0.648,1,FWC,S,F-M-21
138,132W,94,10,18,,6/25/20,Initial,I_10,32B,0.651,1,FWC,S,F-M-21
139,132W,95,2,16,,6/25/20,Final,F_2,32B,0.657,1,FWC,S,F-M-21
142,133W,96,7,8,,6/25/20,Final,F_7,34A,0.582,1,FWC,S,F-M-21
143,133W,97,10,17,,6/25/20,Initial,I_10,34A,0.634,1,FWC,S,F-M-21
146,134W,98,27,18,,6/25/20,Final,F_27,37B,0.06,1,FWC,S,F-M-21
147,134W,99,10,20,,6/25/20,Initial,I_10,37B,0.662,1,FWC,S,F-M-21
148,135W,101,10,16,,6/25/20,Initial,I_10,33A,0.635,1,FWC,S,F-M-21
149,135W,100,3,10,,6/25/20,Final,F_3,33A,0.452,1,FWC,S,F-M-21
152,136W,102,17,4,,6/25/20,Final,F_17,36A,0.178,1,FWC,S,F-M-21
153,136W,103,11,12,,6/25/20,Initial,I_11,36A,0.626,1,FWC,S,F-M-21
156,137W,105,21,9,,6/25/20,Final,F_21,36B,0.161,1,FWC,S,F-M-21
157,137W,104,10,15,,6/25/20,Initial,I_10,36B,0.648,1,FWC,S,F-M-21
160,138W,107,9,5,,6/25/20,Initial,I_9,34B,0.628,1,FWC,S,F-M-21
161,138W,106,8,9,,6/25/20,Final,F_8,34B,0.551,1,FWC,S,F-M-21
164,139W,109,1,3,,6/25/20,Final,F_1,32A,0.62,1,FWC,S,F-M-21
165,139W,108,15,2,,6/25/20,Initial,I_15,32A,0.629,1,FWC,S,F-M-21
171,140W,111,11,14,,6/25/20,Initial,I_11,34B,0.636,1,FWC,S,F-M-21
172,140W,112,8,10,,6/25/20,Final,F_8,34B,0.545,1,FWC,S,F-M-21
175,141W,113,13,12,,6/25/20,Final,F_13,35B,0.392,1,FWC,S,F-M-21
176,141W,114,9,3,,6/25/20,Initial,I_9,35B,0.623,1,FWC,S,F-M-21
179,142W,116,4,18,,6/25/20,Final,F_4,33B,0.631,1,FWC,S,F-M-21
180,142W,115,12,9,,6/25/20,Initial,I_12,33B,0.644,1,FWC,S,F-M-21
183,143W,118,4,12,,6/25/20,Final,F_4,33B,0.62,1,FWC,S,F-M-21
184,143W,117,11,16,,6/25/20,Initial,I_11,33B,0.623,1,FWC,S,F-M-21
187,144W,120,11,18,,6/25/20,Final,F_11,35A,0.412,1,FWC,S,F-M-21
188,144W,119,15,10,,6/25/20,Initial,I_15,35A,0.628,1,FWC,S,F-M-21
1771,472W,1758,18,17,NA,6/28/20,Initial,18_I,31B,0.661,3,FWC,S,F-M-6
1772,472W,1651,16,9,NA,6/28/20,Final,16_F,31B,0.643,3,FWC,S,F-M-6
1777,474W,1817,20,5,NA,6/28/20,Final,20_F,35B,0.399,3,FWC,S,F-M-6
1778,474W,1560,13,11,NA,6/28/20,Initial,13_I,35B,0.638,3,FWC,S,F-M-6
1779,475W,1760,18,19,NA,6/28/20,Initial,18_I,34B,0.68,3,FWC,S,F-M-6
1780,475W,1619,15,9,NA,6/28/20,Final,15_F,34B,0.49,3,FWC,S,F-M-6
1783,476W,1480,11,4,NA,6/28/20,Final,11_F,33B,0.627,3,FWC,S,F-M-6
1784,476W,2076,8,17,NA,6/28/20,Initial,8_I,33B,0.658,3,FWC,S,F-M-6
1787,477W,1814,20,2,NA,6/28/20,Final,20_F,35B,0.443,3,FWC,S,F-M-6
1788,477W,2075,8,16,NA,6/28/20,Initial,8_I,35B,0.661,3,FWC,S,F-M-6
1791,478W,2074,8,15,NA,6/28/20,Initial,8_I,36B,0.666,3,FWC,S,F-M-6
1792,478W,1880,28,2,NA,6/28/20,Final,28_F,36B,0.158,3,FWC,S,F-M-6
1795,479W,1476,10,20,NA,6/28/20,Initial,10_I,34B,0.654,3,FWC,S,F-M-6
1796,479W,1625,15,15,NA,6/28/20,Final,15_F,34B,0.564,3,FWC,S,F-M-6
1569,424B,1978,6,5,NA,6/28/20,Final,6_F,32B,0.597,3,FWC,S,F-M-9
1570,424B,1546,12,20,NA,6/28/20,Initial,12_I,32B,0.633,3,FWC,S,F-M-9
1575,425B,1878,27,4,NA,6/28/20,Final,27_F,36B,0.069,3,FWC,S,F-M-9
1576,425B,1533,12,7,NA,6/28/20,Initial,12_I,36B,0.607,3,FWC,S,F-M-9
1581,426B,1536,12,10,NA,6/28/20,Initial,12_I,34B,0.613,3,FWC,S,F-M-9
1586,427B,1535,12,9,NA,6/28/20,Initial,12_I,34B,0.58,3,FWC,S,F-M-9
1587,427B,1588,14,19,NA,6/28/20,Final,14_F,34B,0.519,3,FWC,S,F-M-9
1594,429B,1539,12,13,NA,6/28/20,Initial,12_I,31B,0.604,3,FWC,S,F-M-9
1601,430B,1924,4,17,NA,6/28/20,Final,4_F,32A,0.602,3,FWC,S,F-M-9
1602,430B,1544,12,18,NA,6/28/20,Initial,12_I,32A,0.601,3,FWC,S,F-M-9
1607,431B,1725,18,2,NA,6/28/20,Final,18_F,35A,0.328,3,FWC,S,F-M-9
1608,431B,1531,12,5,NA,6/28/20,Initial,12_I,35A,0.59,3,FWC,S,F-M-9
1617,433B,1437,10,1,NA,6/28/20,Final,10_F,33B,0.583,3,FWC,S,F-M-9
1618,433B,1530,12,4,NA,6/28/20,Initial,12_I,33B,0.59,3,FWC,S,F-M-9
1631,436B,1400,1,5,NA,6/28/20,Final,1_F,31A,0.612,3,FWC,S,F-M-9
1632,436B,1545,12,19,NA,6/28/20,Initial,12_I,31A,0.619,3,FWC,S,F-M-9
1637,437B,1835,21,6,NA,6/28/20,Final,21_F,36A,0.052,3,FWC,S,F-M-9
1638,437B,1537,12,11,NA,6/28/20,Initial,12_I,36A,0.584,3,FWC,S,F-M-9
1643,438B,1487,11,2,NA,6/28/20,Initial,11_I,35A,0.59,3,FWC,S,F-M-9
1644,438B,1691,17,8,NA,6/28/20,Final,17_F,35A,0.334,3,FWC,S,F-M-9
1660,441B,1697,17,14,NA,6/28/20,Final,17_F,35A,0.353,3,FWC,S,F-M-9
1661,441B,1492,11,7,NA,6/28/20,Initial,11_I,35A,0.591,3,FWC,S,F-M-9
1666,443B,1741,18,18,NA,6/28/20,Final,18_F,35A,0.355,3,FWC,S,F-M-9
1667,443B,1491,11,6,NA,6/28/20,Initial,11_I,35A,0.598,3,FWC,S,F-M-9
1672,444B,1543,12,17,NA,6/28/20,Initial,12_I,31A,0.583,3,FWC,S,F-M-9
1673,444B,1414,1,19,NA,6/28/20,Final,1_F,31A,0.604,3,FWC,S,F-M-9
1677,445B,1649,16,7,NA,6/28/20,Final,16_F,31B,0.588,3,FWC,S,F-M-9
1678,445B,1606,14,17,NA,6/28/20,Initial,14_I,31B,0.629,3,FWC,S,F-M-9
1683,446B,1775,19,15,NA,6/28/20,Final,19_F,35B,0.385,3,FWC,S,F-M-9
1684,446B,1540,12,14,NA,6/28/20,Initial,12_I,35B,0.614,3,FWC,S,F-M-9
1693,448B,1495,11,10,NA,6/28/20,Initial,11_I,34B,0.593,3,FWC,S,F-M-9
1694,448B,1571,14,2,NA,6/28/20,Final,14_F,34B,0.516,3,FWC,S,F-M-9
1697,449B,1609,14,20,NA,6/28/20,Initial,14_I,32A,0.638,3,FWC,S,F-M-9
1698,449B,1917,4,10,NA,6/28/20,Final,4_F,32A,0.607,3,FWC,S,F-M-9
1710,453B,1764,19,4,NA,6/28/20,Final,19_F,35B,0.29,3,UM,S,Kelseys-1
1711,453B,1607,14,18,NA,6/28/20,Initial,14_I,35B,0.598,3,UM,S,Kelseys-1
1713,455B,1398,1,3,NA,6/28/20,Final,1_F,31A,0.609,3,UM,S,Kelseys-1
1714,455B,1719,17,16,NA,6/28/20,Initial,17_I,31A,0.627,3,UM,S,Kelseys-1
1721,457B,1608,14,19,NA,6/28/20,Initial,14_I,32A,0.643,3,UM,S,Kelseys-1
1722,457B,1922,4,15,NA,6/28/20,Final,4_F,32A,0.635,3,UM,S,Kelseys-1
629,245W,832,15,8,NA,6/26/20,Initial,15_I,31.5B,0.653,2,Mote,S,M-L-10
630,245W,1192,4,15,NA,6/26/20,Final,4_F,31.5B,0.664,2,Mote,S,M-L-10
633,246W,802,14,16,NA,6/26/20,Initial,14_I,32.5A,0.662,2,Mote,S,M-L-10
634,246W,1220,5,4,NA,6/26/20,Final,5_F,32.5A,0.65,2,Mote,S,M-L-10
639,247W,801,14,15,NA,6/26/20,Initial,14_I,33.5B,0.663,2,Mote,S,M-L-10
640,247W,719,12,8,NA,6/26/20,Final,12_F,33.5B,0.636,2,Mote,S,M-L-10
645,248W,804,14,18,NA,6/26/20,Initial,14_I,35.5B,0.647,2,Mote,S,M-L-10
646,248W,1080,24,8,NA,6/26/20,Final,24_F,35.5B,0.248,2,Mote,S,M-L-10
651,249W,905,17,18,NA,6/26/20,Final,17_F,34.5B,0.559,2,Mote,S,M-L-10
652,249W,771,13,20,NA,6/26/20,Initial,13_I,34.5B,0.675,2,Mote,S,M-L-10
659,250W,1066,23,12,NA,6/26/20,Final,23_F,35.5B,0.358,2,Mote,S,M-L-10
660,250W,805,14,19,NA,6/26/20,Initial,14_I,35.5B,0.657,2,Mote,S,M-L-10
664,251W,1363,9,6,NA,6/26/20,Final,9_F,33.5A,0.656,2,Mote,S,M-L-10
665,251W,803,14,17,NA,6/26/20,Initial,14_I,33.5A,0.664,2,Mote,S,M-L-10
670,252W,806,14,20,NA,6/26/20,Initial,14_I,32.5B,0.671,2,Mote,S,M-L-10
673,253W,1136,28,19,NA,6/26/20,Final,28_F,36.5B,0.18,2,Mote,S,M-L-10
674,253W,770,13,19,NA,6/26/20,Initial,13_I,36.5B,0.654,2,Mote,S,M-L-10
677,254W,769,13,18,NA,6/26/20,Initial,13_I,36.5A,0.659,2,Mote,S,M-L-10
678,254W,1115,27,9,NA,6/26/20,Final,27_F,36.5A,0.128,2,Mote,S,M-L-10
683,255W,606,1,8,NA,6/26/20,Final,1_F,31.5A,0.673,2,Mote,S,M-L-10
684,255W,845,15,20,NA,6/26/20,Initial,15_I,31.5A,0.644,2,Mote,S,M-L-10
689,256W,1032,20,4,NA,6/26/20,Initial,20_I,31.5B,0.659,2,Mote,A,M-L-10
690,256W,1190,4,13,NA,6/26/20,Final,4_F,31.5B,0.644,2,Mote,A,M-L-10
693,257W,1292,7,8,NA,6/26/20,Final,7_F,32.5B,0.649,2,Mote,A,M-L-10
694,257W,839,15,14,NA,6/26/20,Initial,15_I,32.5B,0.651,2,Mote,A,M-L-10
697,258W,1030,20,2,NA,6/26/20,Initial,20_I,32.5B,0.615,2,Mote,A,M-L-10
698,258W,1285,7,1,NA,6/26/20,Final,7_F,32.5B,0.636,2,Mote,A,M-L-10
703,259W,1330,8,11,NA,6/26/20,Final,8_F,32.5B,0.623,2,Mote,A,M-L-10
704,259W,826,15,2,NA,6/26/20,Initial,15_I,32.5B,0.611,2,Mote,A,M-L-10
710,260W,1202,4,5,NA,6/26/20,Initial,4_I,33.5B,0.58,2,Mote,A,M-L-10
711,260W,691,11,16,NA,6/26/20,Final,11_F,33.5B,0.615,2,Mote,A,M-L-10
716,261W,816,15,10,NA,6/26/20,Final,15_F,34.5A,0.409,2,Mote,S,M-L-10
717,261W,1307,7,8,NA,6/26/20,Initial,7_I,34.5A,0.634,2,Mote,S,M-L-10
1000,312W,350,12,3,,6/25/20,Final,F_12,35A,0.5,1,Mote,S,M-L-13
