"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"289",1602701388030,2020-10-14,19:49:48,"F",13304,"168",227,0,"0.260","0.0"
"290",1602701393310,2020-10-14,19:49:53,"F",13305,"241",394,0,"0.388","0.0"
"291",1602701401350,2020-10-14,19:50:01,"F",13306,"219",369,0,"0.407","0.0"
"292",1602701406280,2020-10-14,19:50:06,"F",13307,"248",339,0,"0.268","0.0"
"293",1602701413590,2020-10-14,19:50:13,"F",13308,"247",348,0,"0.290","0.0"
"294",1602701419940,2020-10-14,19:50:19,"F",13309,"229",298,0,"0.232","0.0"
"295",1602701425440,2020-10-14,19:50:25,"F",13310,"167",177,0,"0.056","0.0"
"296",1602701430380,2020-10-14,19:50:30,"F",13311,"151",190,0,"0.205","0.0"
"297",1602701437530,2020-10-14,19:50:37,"F",13312,"169",240,0,"0.296","0.0"
"298",1602701445250,2020-10-14,19:50:45,"F",13313,"291",420,0,"0.307","0.0"
"299",1602701450080,2020-10-14,19:50:50,"F",13314,"325",377,0,"0.138","0.0"
"300",1602701457720,2020-10-14,19:50:57,"F",13315,"239",387,0,"0.382","0.0"
"301",1602701468170,2020-10-14,19:51:08,"F",13316,"123",171,0,"0.281","0.0"
"302",1602701472970,2020-10-14,19:51:12,"F",13317,"138",219,0,"0.370","0.0"
"303",1602701540000,2020-10-14,19:52:20,"C",NA,"File Nr. 523 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"304",1602701622310,2020-10-14,19:53:42,"F",13318,"161",281,0,"0.427","0.0"
