"2020-10-10";"22:27:36";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"20:09:24";"SCHS";"";"Chart start ";""
"1612025";"2020-10-10";"20:36:17";"F";"11340";"186";"498";"0";"0.627";"0.0"
"1617005";"2020-10-10";"20:36:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1621275";"2020-10-10";"20:36:26";"F";"11341";"199";"536";"0";"0.629";"0.0"
"1625005";"2020-10-10";"20:36:30";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1631245";"2020-10-10";"20:36:36";"F";"11342";"157";"411";"0";"0.618";"0.0"
"1631250";"2020-10-10";"20:36:36";"SCHE";"";"Chart stop ";""
"1636005";"2020-10-10";"20:36:41";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1682000";"2020-10-10";"20:37:26";"SCHS";"";"Chart start ";""
"1682005";"2020-10-10";"20:37:27";"C";"";"File Nr. 454 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1682010";"2020-10-10";"20:37:27";"SCHE";"";"Chart stop ";""
"1691005";"2020-10-10";"20:37:36";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1709000";"2020-10-10";"20:37:53";"SCHS";"";"Chart start ";""
"1709005";"2020-10-10";"20:37:54";"C";"";"File Nr. 455 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1723265";"2020-10-10";"20:38:08";"F";"11343";"3";"10";"0";"-";"-"
"1727005";"2020-10-10";"20:38:12";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1736615";"2020-10-10";"20:38:21";"F";"11344";"5";"9";"0";"-";"-"
"1740005";"2020-10-10";"20:38:25";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1744955";"2020-10-10";"20:38:29";"F";"11345";"3";"9";"0";"-";"-"
"1748005";"2020-10-10";"20:38:33";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1755945";"2020-10-10";"20:38:40";"F";"11346";"4";"8";"0";"-";"-"
"1759005";"2020-10-10";"20:38:44";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1765215";"2020-10-10";"20:38:50";"F";"11347";"3";"11";"0";"-";"-"
"1769005";"2020-10-10";"20:38:54";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1774365";"2020-10-10";"20:38:59";"F";"11348";"5";"9";"0";"-";"-"
"1778005";"2020-10-10";"20:39:03";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1784775";"2020-10-10";"20:39:09";"F";"11349";"4";"13";"0";"-";"-"
"1789005";"2020-10-10";"20:39:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1793385";"2020-10-10";"20:39:18";"F";"11350";"6";"9";"0";"-";"-"
"1797005";"2020-10-10";"20:39:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1802575";"2020-10-10";"20:39:27";"F";"11351";"3";"10";"0";"-";"-"
"1807005";"2020-10-10";"20:39:32";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1814785";"2020-10-10";"20:39:39";"F";"11352";"6";"13";"0";"-";"-"
"1818005";"2020-10-10";"20:39:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1823855";"2020-10-10";"20:39:48";"F";"11353";"6";"8";"0";"-";"-"
"1827005";"2020-10-10";"20:39:52";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1833985";"2020-10-10";"20:39:58";"F";"11354";"2";"9";"0";"-";"-"
"1837005";"2020-10-10";"20:40:02";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1844945";"2020-10-10";"20:40:09";"F";"11355";"3";"7";"0";"-";"-"
"1844950";"2020-10-10";"20:40:09";"SCHE";"";"Chart stop ";""
"1848005";"2020-10-10";"20:40:13";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1877000";"2020-10-10";"20:40:41";"SCHS";"";"Chart start ";""
"1877005";"2020-10-10";"20:40:42";"C";"";"File Nr. 456 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1967335";"2020-10-10";"20:42:12";"F";"11356";"143";"380";"0";"0.624";"0.0"
"1971005";"2020-10-10";"20:42:16";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1973555";"2020-10-10";"20:42:18";"F";"11357";"143";"376";"0";"0.620";"0.0"
"1977005";"2020-10-10";"20:42:22";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
