"2020-10-10";"22:35:02";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"18:31:22";"SCHS";"";"Chart start ";""
"5";"2020-10-10";"18:31:23";"C";"";"File Nr. 434 | File Dev. ID #1, DIVING-PAM-II:  ";""
"10";"2020-10-10";"18:31:23";"SCHE";"";"Chart stop ";""
"2905865";"2020-10-10";"19:19:48";"F";"10989";"370";"401";"0";"0.077";"0.0"
"2910005";"2020-10-10";"19:19:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2912975";"2020-10-10";"19:19:55";"F";"10990";"328";"366";"0";"0.104";"0.0"
"2916005";"2020-10-10";"19:19:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2920915";"2020-10-10";"19:20:03";"F";"10991";"161";"198";"0";"0.187";"0.0"
"2924005";"2020-10-10";"19:20:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2926065";"2020-10-10";"19:20:09";"F";"10992";"149";"179";"0";"0.168";"0.0"
"2926070";"2020-10-10";"19:20:09";"SCHE";"";"Chart stop ";""
"2931005";"2020-10-10";"19:20:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"2950000";"2020-10-10";"19:20:32";"SCHS";"";"Chart start ";""
"2950005";"2020-10-10";"19:20:33";"C";"";"File Nr. 439 | File Dev. ID #1, DIVING-PAM-II:  ";""
"2994635";"2020-10-10";"19:21:17";"F";"10993";"205";"277";"0";"0.260";"0.0"
"2998005";"2020-10-10";"19:21:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.0 ";""
"3001275";"2020-10-10";"19:21:24";"F";"10994";"163";"201";"0";"0.189";"0.0"
"3006005";"2020-10-10";"19:21:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3007075";"2020-10-10";"19:21:30";"F";"10995";"502";"557";"0";"0.099";"0.0"
"3011005";"2020-10-10";"19:21:34";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3013475";"2020-10-10";"19:21:36";"F";"10996";"400";"496";"0";"0.194";"0.0"
"3017005";"2020-10-10";"19:21:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3019475";"2020-10-10";"19:21:42";"F";"10997";"200";"258";"0";"0.225";"0.0"
"3023005";"2020-10-10";"19:21:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3024195";"2020-10-10";"19:21:47";"F";"10998";"158";"190";"0";"0.168";"0.0"
"3028005";"2020-10-10";"19:21:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3035385";"2020-10-10";"19:21:58";"F";"10999";"304";"304";"0";"0.000";"0.0"
"3039005";"2020-10-10";"19:22:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3040435";"2020-10-10";"19:22:03";"F";"11000";"287";"357";"0";"0.196";"0.0"
"3045005";"2020-10-10";"19:22:08";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3046055";"2020-10-10";"19:22:09";"F";"11001";"355";"439";"0";"0.191";"0.0"
"3050005";"2020-10-10";"19:22:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3053135";"2020-10-10";"19:22:16";"F";"11002";"291";"335";"0";"0.131";"0.0"
"3057005";"2020-10-10";"19:22:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3058825";"2020-10-10";"19:22:21";"F";"11003";"304";"360";"0";"0.156";"0.0"
"3062005";"2020-10-10";"19:22:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3063995";"2020-10-10";"19:22:26";"F";"11004";"522";"573";"0";"0.089";"0.0"
"3068005";"2020-10-10";"19:22:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3069095";"2020-10-10";"19:22:32";"F";"11005";"444";"493";"0";"0.099";"0.0"
"3073005";"2020-10-10";"19:22:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3075265";"2020-10-10";"19:22:38";"F";"11006";"245";"348";"0";"0.296";"0.0"
"3079005";"2020-10-10";"19:22:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3082095";"2020-10-10";"19:22:45";"F";"11007";"400";"458";"0";"0.127";"0.0"
"3086005";"2020-10-10";"19:22:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.1 ";""
"3091525";"2020-10-10";"19:22:54";"F";"11008";"183";"233";"0";"0.215";"0.0"
