"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"295",1982565,2020-10-13,19:43:24,"F",12456,"153",198,0,"0.227","0.0"
"296",1987525,2020-10-13,19:43:29,"F",12457,"205",277,0,"0.260","0.0"
"297",1991845,2020-10-13,19:43:33,"F",12458,"226",325,0,"0.305","0.0"
"298",1995335,2020-10-13,19:43:37,"F",12459,"226",303,0,"0.254","0.0"
"299",2003535,2020-10-13,19:43:45,"F",12460,"430",520,0,"0.173","0.0"
"300",2007585,2020-10-13,19:43:49,"F",12461,"467",568,0,"0.178","0.0"
"301",2012445,2020-10-13,19:43:54,"F",12462,"216",449,0,"0.519","0.0"
"302",2020975,2020-10-13,19:44:02,"F",12463,"347",473,0,"0.266","0.0"
"303",2025905,2020-10-13,19:44:07,"F",12464,"282",367,0,"0.232","0.0"
"304",2032425,2020-10-13,19:44:14,"F",12465,"324",450,0,"0.280","0.0"
"305",2036375,2020-10-13,19:44:18,"F",12466,"299",557,0,"0.463","0.0"
"306",2047945,2020-10-13,19:44:29,"F",12467,"305",419,0,"0.272","0.0"
"307",2055855,2020-10-13,19:44:37,"F",12468,"161",166,0,"0.030","0.0"
"308",2060375,2020-10-13,19:44:42,"F",12469,"278",504,0,"0.448","0.0"
"309",2073975,2020-10-13,19:44:55,"F",12470,"241",573,0,"0.579","0.0"
"310",2083435,2020-10-13,19:45:05,"F",12471,"231",231,0,"0.000","0.0"
"311",2088285,2020-10-13,19:45:10,"F",12472,"403",621,0,"0.351","0.0"
"312",2095755,2020-10-13,19:45:17,"F",12473,"456",672,0,"0.321","0.0"
"313",2102575,2020-10-13,19:45:24,"F",12474,"373",537,0,"0.305","0.0"
"314",2107245,2020-10-13,19:45:29,"F",12475,"403",506,0,"0.204","0.0"
"315",2216605,2020-10-13,19:47:18,"F",12476,"408",480,0,"0.150","0.0"
"316",2224275,2020-10-13,19:47:26,"F",12477,"347",453,0,"0.234","0.0"
