geno,rec,f,fm,fvfm,tank_id,tank_set,max_temp
CN2,9992,187,321,0.417,S1,starboard,38
175,9993,136,161,0.155,S1,starboard,38
175,9994,98,98,0,S1,starboard,38
156,9995,125,388,0.678,S1,starboard,38
156,9996,226,288,0.215,S1,starboard,38
170B,9997,125,391,0.68,S1,starboard,38
170B,9998,143,143,0,S1,starboard,38
165,9999,105,226,0.535,S1,starboard,38
165,10000,69,69,0,S1,starboard,38
161,10001,124,186,0.333,S1,starboard,38
161,10002,281,476,0.41,S1,starboard,38
154,10004,458,564,0.188,S1,starboard,38
154,10005,79,96,0.177,S1,starboard,38
25,10006,58,99,0.414,S2,starboard,37
25,10007,118,223,0.471,S2,starboard,37
162,10008,138,138,0,S2,starboard,37
162,10009,235,529,0.556,S2,starboard,37
21,10010,203,433,0.531,S2,starboard,37
21,10011,135,182,0.258,S2,starboard,37
150,10012,94,242,0.612,S2,starboard,37
150,10014,156,255,0.388,S2,starboard,37
28,10015,72,105,0.314,S2,starboard,37
28,10017,30,59,0.492,S2,starboard,37
11,10018,618,924,0.331,S2,starboard,37
11,10019,239,339,0.295,S2,starboard,37
CN3,10020,370,476,0.223,S2,starboard,37
CN3,10021,499,617,0.191,S2,starboard,37
182,10022,346,509,0.32,S2,starboard,37
182,10023,233,385,0.395,S2,starboard,37
174,10024,29,92,0.685,S2,starboard,37
174,10025,85,125,0.32,S2,starboard,37
166,10026,272,448,0.393,S2,starboard,37
166,10027,344,535,0.357,S2,starboard,37
167,10028,171,468,0.635,S2,starboard,37
167,10029,559,707,0.209,S2,starboard,37
176B,10030,141,201,0.299,S2,starboard,37
176B,10031,150,269,0.442,S2,starboard,37
171,10032,27,120,0.775,S2,starboard,37
171,10033,39,84,0.536,S2,starboard,37
173,10034,339,639,0.469,S2,starboard,37
173,10035,385,633,0.392,S2,starboard,37
CN2,10036,450,622,0.277,S2,starboard,37
CN2,10037,216,289,0.253,S2,starboard,37
175,10038,220,546,0.597,S2,starboard,37
175,10039,119,372,0.68,S2,starboard,37
156,10041,54,76,0.289,S2,starboard,37
156,10042,120,213,0.437,S2,starboard,37
170B,10044,32,114,0.719,S2,starboard,37
170B,10045,78,122,0.361,S2,starboard,37
165,10046,12,42,NA,S2,starboard,37
165,10047,27,45,NA,S2,starboard,37
161,10048,157,252,0.377,S2,starboard,37
161,10049,160,302,0.47,S2,starboard,37
154,10050,150,604,0.752,S2,starboard,37
154,10051,287,585,0.509,S2,starboard,37
25,10052,259,610,0.575,S4,starboard,35
25,10053,374,849,0.559,S4,starboard,35
162,10055,281,640,0.561,S4,starboard,35
162,10056,321,617,0.48,S4,starboard,35
21,10058,206,475,0.566,S4,starboard,35
21,10059,172,495,0.653,S4,starboard,35
150,10060,150,538,0.721,S4,starboard,35
150,10061,156,363,0.57,S4,starboard,35
28,10062,455,1046,0.565,S4,starboard,35
28,10064,411,980,0.581,S4,starboard,35
11,10065,468,1003,0.533,S4,starboard,35
11,10066,481,1120,0.571,S4,starboard,35
CN3,10067,362,631,0.426,S4,starboard,35
CN3,10068,311,811,0.617,S4,starboard,35
182,10069,226,666,0.661,S4,starboard,35
